Type,DSI Name,Citation impact
Computer-driven,"Xi An Jiao Tong Univ, Natl Engn Lab Big Data Analyt",47.606855
Computer-driven,"Hefei Univ Technol, Key Lab Knowledge Engn Big Data",47.48896014492754
Computer-driven,"Yuan Ze Univ, Innovat Ctr Big Data & Digital Convergence",47.339024528301884
Computer-driven,"Shanghai Univ, Shanghai Inst Adv Commun & Data Sci",47.02471346704871
Computer-driven,"Foshan Univ, Sch Math & Big Data",46.85658201219512
Computer-driven,"Peking Univ, Ctr Data Sci",46.47922580645161
Computer-driven,"Shenzhen Technol Univ, Coll Big Data & Internet",46.10148769230769
Computer-driven,"Huazhong Univ Sci & Technol, Natl Engn Res Ctr Big Data Technol & Syst",46.05506060606061
Computer-driven,Natl Engn Lab Integrated Transportat Big Data App,45.998611363636364
Computer-driven,Int Res Ctr Big Data Sustainable Dev Goals,45.89400763358778
Computer-driven,"Guizhou Univ, Guizhou Prov Key Lab Publ Big Data",44.88698289473684
Computer-driven,"George Mason Univ, Dept Computat & Data Sci",44.505025333333336
Computer-driven,"Guizhou Normal Univ, Sch Big Data & Comp Sci",43.929261344537814
Computer-driven,"Henan Univ, Henan Key Lab Big Data Anal & Proc",43.89642991452991
Computer-driven,"Maastricht Univ, Dept Data Sci & Knowledge Engn",43.71040170940171
Computer-driven,"North Univ China, Sch Data Sci & Technol",43.32277352941176
Computer-driven,"Fudan Univ, Shanghai Key Lab Data Sci",43.16182358490566
Computer-driven,"Taiyuan Univ Technol, Coll Data Sci",43.03391736526946
Computer-driven,"Sejong Univ, Dept Data Sci",42.80255454545455
Computer-driven,"Indian Inst Sci, Dept Computat & Data Sci",42.51366590909091
Computer-driven,"Fujian Prov Univ, Key Lab Data Sci & Intelligence Applicat",42.46578148148148
Computer-driven,"Chinese Univ Hong Kong, Sch Data Sci",42.42071194029851
Computer-driven,"Fuzhou Univ, Coll Comp & Data Sci",41.302366666666664
Computer-driven,"City Univ Macau, Inst Data Sci",40.24729135802469
Computer-driven,"Hefei Univ, Sch Artificial Intelligence & Big Data",39.49035714285714
Computer-driven,"Guizhou Univ, Coll Big Data & Informat Engn",38.87216461916462
Computer-driven,"East China Normal Univ, Sch Data Sci & Engn",38.54711030927835
Computer-driven,Jiangsu Key Lab Big Data Secur & Intelligent Proc,35.372649350649354
Mathematics-driven,Beijing Inst Big Data Res,73.88655849056603
Mathematics-driven,"Cent European Univ, Dept Network & Data Sci",67.96848421052631
Mathematics-driven,"Univ Calif San Diego, Halicioglu Data Sci Inst",57.9790552
Mathematics-driven,"Univ Texas Austin, Dept Stat & Data Sci",56.47213653846154
Mathematics-driven,"Carnegie Mellon Univ, Dept Stat & Data Sci",53.819394736842106
Mathematics-driven,"Yale Univ, Dept Stat & Data Sci",53.770359633027525
Mathematics-driven,"Shanxi Univ, Shanxi Key Lab Math Tech & Big Data Anal Dis Cont",52.258638043478264
Mathematics-driven,"Zhengzhou Univ, Henan Acad Big Data",51.00993815789474
Mathematics-driven,"Shaanxi Univ Sci & Technol, Sch Math & Data Sci",50.90391666666667
Mathematics-driven,"Cornell Univ, Dept Stat & Data Sci",48.96232336448598
Mathematics-driven,"Shandong Univ, Data Sci Inst",48.12072244897959
Mathematics-driven,"Renmin Univ China, Inst Stat & Big Data",43.56936714285714
Mathematics-driven,"Osaka Univ, Ctr Math Modeling & Data Sci",42.235224137931034
Mathematics-driven,"Vilnius Univ, Inst Data Sci & Digital Technol",41.73997668711657
Mathematics-driven,"Southern Univ Sci & Technol, Dept Stat & Data Sci",41.36181739130435
Mathematics-driven,"Nankai Univ, Sch Stat & Data Sci",41.298741101694915
Mathematics-driven,"Henan Normal Univ, Henan Engn Lab Big Data Stat Anal & Optimal Contr",41.255088709677416
Mathematics-driven,"Zhejiang Univ Finance & Econ, Sch Data Sci",40.60660205479452
Mathematics-driven,"Yonsei Univ, Dept Stat & Data Sci",40.23232586206897
Mathematics-driven,"Minjiang Univ, Coll Math & Data Sci",38.520930303030305
Mathematics-driven,"Anhui Univ Sci & Technol, Sch Math & Big Data",35.95233097826087
Mathematics-driven,"Guizhou Minzu Univ, Sch Data Sci & Informat Engn",35.872858620689655
Mathematics-driven,"Zhejiang Univ, Ctr Data Sci",35.32993818181818
Mathematics-driven,"Jiaxing Univ, Coll Data Sci",35.15249268292683
Mathematics-driven,"Natl Univ Singapore, Dept Stat & Data Sci",30.40760882352941
Mathematics-driven,"North Minzu Univ, Key Lab Intelligent Informat & Big Data Proc Ning",30.155871153846153
Mathematics-driven,"Guizhou Univ Finance & Econ, Coll Big Data Stat",29.22353846153846
Mathematics-driven,"Natl Cheng Kung Univ, Inst Data Sci",26.053122
Mathematics-driven,"Nanjing Audit Univ, Sch Stat & Data Sci",20.363617021276596
